filename,exposure,timestamp,algol_x,algol_y,ref1_x,ref1_y,ref2_x,ref2_y,ref3_x,ref3_y
algol_0.04_2025-02-28T16:07:39.122.fits,0.04,2025-02-28T16:07:39.122,1286.85112634994,665.26530401615,1330.3716771867,338.042234174543,1694.5772763589,564.584641337662,428.423806607436,656.517572328585
algol_0.04_2025-02-28T16:09:41.229.fits,0.04,2025-02-28T16:09:41.229,1286.82294147484,665.200015340269,1330.63481510216,331.816133958421,1692.7638015967,550.040249168023,429.087915059111,656.117733886205
algol_0.04_2025-02-28T16:12:54.622.fits,0.04,2025-02-28T16:12:54.622,1287.17236544809,665.267509201916,1334.59276949489,329.717056378895,1692.77072174666,549.760969642694,432.183507786796,660.258228878498
algol_0.04_2025-02-28T16:16:34.916.fits,0.04,2025-02-28T16:16:34.916,1266.76070468066,605.147209902307,1358.58215187198,334.227506219033,1700.51499312445,586.826566893546,443.180373333032,643.003492054978
algol_0.04_2025-02-28T16:18:02.601.fits,0.04,2025-02-28T16:18:02.601,1268.66840080096,602.757020141763,1359.8183727429,334.418926548885,1700.07380164343,582.261036187024,447.000251383343,643.449497666965
algol_0.04_2025-02-28T16:21:13.348.fits,0.04,2025-02-28T16:21:13.348,1267.4885752551,604.014358112782,1359.52789864726,334.365278372175,1700.07075453699,583.999059227249,447.261606295391,642.445368653983
algol_0.04_2025-02-28T16:23:04.196.fits,0.04,2025-02-28T16:23:04.196,1267.54836896191,603.676592605979,1359.49996698767,335.600823861426,1706.68848412489,583.391400093373,448.090805439367,643.553547239968
algol_0.04_2025-02-28T16:24:54.000.fits,0.04,2025-02-28T16:24:54.000,1269.08431593017,600.705596545655,1359.50152775418,335.356766017095,1706.27290851806,583.249396262283,442.920031598626,642.375115401487
algol_0.04_2025-02-28T16:26:49.045.fits,0.04,2025-02-28T16:26:49.045,1270.27185131429,599.439105161189,1351.94355896293,334.785386006566,1706.13886768582,582.804711737105,447.600362956129,642.466454347639
algol_0.05_2025-02-28T16:29:20.778.fits,0.05,2025-02-28T16:29:20.778,1268.23394784474,588.688211890149,1350.39383244591,333.503035152696,1705.81456552898,583.692303221523,446.257876528705,645.038206109096
algol_0.05_2025-02-28T16:30:47.516.fits,0.05,2025-02-28T16:30:47.516,1268.03586261076,589.674115654612,1352.10869761973,335.035508715932,1706.10455664505,582.846141283018,452.970920670278,645.566792507645
algol_0.05_2025-02-28T16:32:23.271.fits,0.05,2025-02-28T16:32:23.271,1268.36259073474,588.783254608139,1352.32050056996,335.210644529009,1705.99772837029,583.117667220746,452.520840103286,647.42542043334
algol_0.05_2025-02-28T16:33:52.537.fits,0.05,2025-02-28T16:33:52.537,1267.70134176641,590.066599110241,1355.49036325184,330.524966345319,1706.21560994369,584.080797575732,452.727574967917,647.578134770397
algol_0.05_2025-02-28T16:35:15.437.fits,0.05,2025-02-28T16:35:15.437,1268.26438052201,589.26186661667,1359.6520383128,335.077805078796,1710.18184869279,580.366358656444,453.242261179832,645.910735310692
algol_0.05_2025-02-28T16:36:39.005.fits,0.05,2025-02-28T16:36:39.005,1267.68976749414,590.391235901559,1359.08570912863,335.470428375557,1705.90407653158,577.201796296646,454.819491572364,648.451814228858
algol_0.075_2025-02-28T16:51:01.266.fits,0.075,2025-02-28T16:51:01.266,1268.10882895876,589.89224082091,1352.7255491714,334.562074053285,1706.78193396945,576.663615173282,455.351727517617,649.223387266216
algol_0.075_2025-02-28T16:53:06.080.fits,0.075,2025-02-28T16:53:06.080,1268.059894264,589.632351446144,1358.57376954847,334.384435612449,1707.33551157696,576.363033053591,458.333336718305,652.65734122819
algol_0.075_2025-02-28T16:55:17.252.fits,0.075,2025-02-28T16:55:17.252,1268.38631456166,589.327732639279,1359.1916269982,334.729348770961,1707.24331415841,571.896227302157,460.282239678719,652.865251600805
algol_0.075_2025-02-28T16:57:11.305.fits,0.075,2025-02-28T16:57:11.305,1268.45660574406,589.299021022968,1360.04130634364,334.562403781569,1708.92758706533,575.561486924708,463.02227112793,651.6767596045
algol_0.08_2025-02-28T16:59:21.551.fits,0.08,2025-02-28T16:59:21.551,1269.90059735607,587.299393545708,1358.94594455521,334.069024788889,1709.25914774915,580.923679483019,462.907351214721,651.272295538898
algol_0.08_2025-02-28T17:01:50.466.fits,0.08,2025-02-28T17:01:50.466,1268.16438535287,589.58516812856,1362.96740623085,328.002157089084,1708.62237624519,582.158779965444,458.484963871129,653.497353117993
algol_0.08_2025-02-28T17:03:21.547.fits,0.08,2025-02-28T17:03:21.547,1268.96765583787,588.534958449559,1357.0792870193,329.008245471936,1711.41840333313,582.352766746589,456.740899175299,649.090701022813
algol_0.08_2025-02-28T17:07:03.605.fits,0.08,2025-02-28T17:07:03.605,1268.93240156779,588.819108612342,1357.29749792385,328.548113928485,1710.36133123034,584.230602099534,457.078978463036,648.081455498306
